fund,matched_fund,fund_confidence,cik_no_fund,form_d_fund_id,crd_no_fund,form_adv_fund_id
East St Charles Road,East Rock Charitable Fund,0.9260598186781384,1841517,100693,157433,
Signal Point Partners,Signal Point Partners,0.0,1750781,55039,298718,
Southern Bancorp,Southern Vibe Enterprises,0.9607784979692838,1702397,91533,290076,
 Snow King Drive,Snow Fund One,0.9834955690907876,1873963,120111,131068,
Lateef: Alpha Plus Offshore,Alpha Plus Fund,0.872401274002733,1415768,58616,168441,
Gru Fund I A Series Of Moving Capital,Gru Fund I A Series Of Moving Capital,0.0,1876272,121244,322083,
Wave Select  Crypto Index Fund,Wave Select  Crypto Index Master Fund Bvi,0.5250720039457121,1852330,107290,305726,
Nepc Emerging Markets Equity Series,Nepc Emerging Markets Equity Series,0.0,1869485,119606,110562,
Touzi Income Fund,Income Fund,0.9578940098777539,1856498,110575,163176,
Bkri Ace Hardware Tulsa,,1.0,1852394,107401,167212,3656.0
Pr Fund I A Series Of Electric Ant Special Purpose Investments,Electric Ant Investments A,0.7971796667428024,1863802,112911,317861,
Techu Angels Venture Partners Series H,Techu Angels Venture Partners Series H,0.0,1885653,127761,271036,
Event Network Investment Holdings,Event Network Investment Holdings,1.4901161193847656e-08,1729198,96408,165478,
Venture Capital Portfolio Te ,Venture Capital Portfolio ,0.3890323383477647,1948789,172581,159198,4363.0
Mint Air,Migs Aiv,0.9342081348866963,1846916,104878,282639,
Apple Boston Investors,Boston Investor Select,0.7745620484190309,1839531,99762,285895,
Andurand Commodities Fund,Andurand Commodities Master Fund,0.40198326138146473,1570199,34450,317820,
Mon Fund I A Series Of Climate Capital Deals,En Fund I A Series Of Climate Capital Deals,0.37879814755470326,1926362,156277,297291,
Bpea Vi,Bpea Vi,0.0,1908898,144088,156772,
Eargo,East ,0.9945185572563708,1719395,86977,160081,2402.0
Summertown Partners,Beartown Partners Fund,0.8289055814796337,1801969,104501,289341,
Mimg Clxxvi Ne Dayton  Master,,1.0,1832480,94994,167212,3656.0
Sun Mountain Investors,Sun Mountain Investors Series I,0.43527883732909667,1765816,44548,290560,
Angel Oak Financials Value Fund,Angel Oak Financials Value Fund,0.0,1827314,94681,151090,6765.0
Next Frontier Capital Fund,Next Frontier Capital Fund,2.1073424255447017e-08,1642114,117489,221524,
Ground Up Ventures Fund Ii,Up Ventures I,0.7382780059125054,1886480,127644,309765,
Gs Mountain Venture Master Reit,Stone Mountain Ventures Fund I,0.8409819967739585,1907243,141811,315619,
Aqr Tax Advantaged Global Equity Market Neutral Fund,Aqr Tax Advantaged Global Equity Market Neutral Fund,1.0536712127723509e-08,1616851,35955,111883,84.0
Globexus Holdings, Holdings,0.8953167410161751,1765837,126591,137388,2725.0
Sustainable Fixed Income,Sustainable Fixed Income,1.4901161193847656e-08,1914700,151549,149280,
Contrary Xiv A Series Of Contrary Holdings,Contrary Holdings,0.6200262628658639,1893290,132300,311054,
Northeast Multifamily Dst,Merion Multifamily Fund,0.8385241722992155,1871300,120772,158507,
Cv Industry Iii,Cv Industry Ii,0.23409713876210422,1949049,171664,167328,
Blackchamber Real Estate Opportunity Fund Reit,Blackchamber Real Estate Opportunity Fund,0.32891354777674864,1906430,141734,306359,
Spark Partners Fund,Mark Partners,0.6643641495090532,1539477,64340,105691,4573.0
Whe Fund Iii A Series Of Hack Vc, Fund Ii A Series Of Hack Vc,0.48905990686858447,1886549,127654,167700,
Rising Tide Network Follow On Spv I Leal I,Rising Tide Network Fund I,0.721132843451815,1925706,159697,320773,
Blockchain Made Easy,Blockchain One,0.8210909788132921,1864085,112960,293041,
Sdv Seed Fund I A Series Of Side Door Ventures,Fund I A Series Of  Ventures,0.8567187678606087,1829668,95992,315660,
Hunter Diversified Fund,Hunter Diversified Fund,1.4901161193847656e-08,1818762,86645,309050,12568.0
Padgea,Lead Edge Capital V,0.9543943430450237,1879219,128631,241795,75843.0
Tin Goose Holdings, Holdings,0.8281592533828106,1948747,172158,137388,2725.0
Tw Fund I A Series Of Roll Up Vehicles,Vehicle A,0.9896844550652758,1907780,143428,314399,
Gob Network Fund Ii,Webb Investment Network Fund,0.8357570166475419,1931714,159566,311579,
Mvp Ls Fund Cccxii,Mvp Ls Fund Cccxii,0.0,1875044,120956,163660,
Liberty Star Uranium Metals,Azarias Uranium Opportunity Fund,0.989876347792223,1172178,107732,174466,145951.0
Forus,For,0.7985872619623432,1570546,119095,161443,5285.0
 Bellaire Dr,Belair Capital Fund,0.9640616154769605,1869878,118527,104853,
Tackle Ai,Smash Ventures Tackle Spv,0.9394226555020416,1817906,87609,299799,
Anahata Cav Offshore,Anahata Cav Master,0.7794711276167374,1787704,58533,299450,
Ag Essential Housing Fund Ii Holdings De,Ag Essential Housing Fund Ii Aggregator,0.7578648147430419,1874228,121177,131940,168.0
Declaration Partners Real Estate Fund I,Declaration Partners Real Estate Fund I,0.0,1874601,120673,297786,
Horizon Opportunity Zone Solutions,Sortis Opportunity Zone Fund I,0.7745094975436291,1869799,118520,315584,
Patton Flex Fund,Patton Flex Fund,0.0,1474329,58773,120533,54869.0
Ou Fund I A Series Of Unpopular Vc,Ou Fund Ii A Series Of Unpopular Vc,0.2641555370531761,1825688,90837,312118,
 Venture I A Series Of  Venture Fund,Fund I A Series Of  Ventures,0.4573347853158308,1866954,118398,315660,
Icg Strategic Equity Fund Iv Feeder Scsp,Icg Strategic Equity Fund Iv,0.6138877597061679,1845023,106905,162589,39588.0
Bundle X Joy,,1.0,1886876,127942,167212,3656.0
Cs Lullwater At Big Ridge Apartments Dst,,0.9999999999999998,1873230,119524,167212,3656.0
Genesisai,Genesis Ventures,0.8719407797876589,1797609,86487,324063,
Metis Global Partners,Metis Partners,0.7146607147267185,1594916,145370,163584,
Tiger Fiber,Fund  Tiger,0.9796749317617858,1852948,107967,105466,892.0
Hahparking,,0.9999999999999999,1759037,43744,167212,3656.0
H Insights,Classical Insights Fund,0.856661072209168,1837632,98400,142372,
Bmi Properties,Bm P,0.8874759921544068,1712913,86974,285482,
Global Asset Backed Opportunities,Global Asset Backed Opportunities,1.0536712127723509e-08,1600087,54999,110353,74.0
Chilton European International Bvi,Madison International European Prime Property Investors,0.861475248419918,1458357,31788,158165,5298.0
Midwest Express Airlines,Midwest Minato,0.9594603084806257,1741839,42479,170962,
Bluma Wellness,L Wellness Invest,0.8174362744641683,1815664,84990,304140,
Hiya,Hibiya Park,0.7083059993078952,1719824,110498,107590,11693.0
Borregos Racing,,0.9999999999999999,1856703,109111,167212,3656.0
Crow Holdings Realty Partners Ix,Crow Holdings Realty Partners Ix,1.4901161193847656e-08,1804680,77820,156925,142145.0
Franklin Robotics,Franklin Clo V,0.864662800979437,1736320,110500,104517,71.0
Wja Housing Bond Fund,Wja Housing Bond Fund,0.0,1569583,66901,106861,919.0
Porterwood Apartments,Norwood Capital Partners,0.9477354378360099,1838546,100400,156280,145553.0
True Capital Growth Iii,True Capital Growth Iii,1.0536712127723509e-08,1878877,122876,313542,
Fj A Series Of Assure Labs ,Fj Labs  Vc A Series Of Fj Labs Funds,0.6214194379508291,1831058,96682,283062,
Haste,Hal,0.797343474511625,1882205,132370,155462,146245.0
Ke Fund I A Series Of Zachary Ginsburg Funds,Ke Fund I A Series Of Zachary Ginsburg Funds,0.0,1838172,98606,298061,
Alden Advanced Technologies,Advanced Technology Fund,0.6090193887034752,1802998,75136,173092,
Frontaura Global Frontier Fund,Frontaura Global Frontier Fund,1.4901161193847656e-08,1423188,61678,162237,16268.0
Argonaut Multifamily Opportunity,Qav Multifamily Opportunities Fund I,0.8321790520999017,1874457,120194,284696,
Ebb Carbon,Pa Carbon I,0.9818105913659295,1896284,134678,311751,157742.0
Strong Ventures Iv,Strong Ventures Iv,0.0,1875461,120972,166019,
Ag Capital Solutions Sma One,Ag Capital Solutions Sma One,1.0536712127723509e-08,1810886,85501,131940,168.0
Private Equity Partners Offshore Viii,Private Equity Partners  Offshore,0.4903441198365889,1844441,102637,107738,259.0
Icapital Vof,Icapital Vof,0.0,1856670,110583,177513,
Tyto Ventures Ii A Series Of Tyto Venture Partners,Tyticus Partners Ii,0.8534759029282044,1833229,96698,138055,
Oca Silver Lake Vii,Oca Silver Lake Vi,0.19287124157440597,1945512,172133,144474,7907.0
Ma Fund I A Series Of Fox Ventures,Fund I A Series Of  Ventures,0.7108937622964304,1876282,121252,315660,
Tcw Senior Secured Floating Rate Loan Fund Cayman L P,Tcw Senior Secured Loan Fund,0.6729210855239298,1339820,30083,153966,5186.0
Triax Technologies,Janvest Technologies,0.7478514819598271,1868606,116916,307760,
Miraculum,Periculum,0.8945594348205311,1755173,43484,107994,12149.0
Dec Fund I A Series Of Unpopular Vc, Fund I A Series Of Unpopular Vc,0.3251897270391821,1826543,91275,167700,
Pin Oak Real Estate Development Fund Ii Master,Pin Oak Real Estate Development Fund Ii Master,0.0,1723449,98629,105550,10876.0
Gu Fund I A Series Of Roll Up Vehicles,Fund I A Series Of Mu Ventures,0.9728832428082678,1931817,159587,323087,
Ot Fund I A Series Of Roll Up Vehicles,Ot Fund I A Series Of Incisive Ventures,0.9590915359509415,1948050,172370,315572,
All Weather Portfolio,All Weather Portfolio Trading,0.5511409233312858,1536978,60026,105129,150.0
Diagnostic Biochips,Selfie Diagnostics,0.997866223431941,1592600,105560,311753,
Shopoff Oc Development Fund,Viam Development Fund,0.8420499814979525,1937855,163577,288678,
Yellowstone Housing Opportunities Fund Iii,Encore Housing Opportunity Fund Iii,0.8685683705631142,1884505,126403,159393,
Ccp Esports Fund I,Ccp Esports Fund I,0.0,1863945,118344,301211,
Garage Syndicate Lf Ii Spv A Series Of Sharding Holdings Management,Gallery Spv A Series Of Sharding Holdings Management,0.6020875343125689,1929500,159940,306829,
Homee,Sp Homes Fund ,0.9449819718293508,1746378,56809,281569,
Open Space Labs,Av Labs,0.9488039536671738,1715949,86976,160118,7632.0
Nationwide Variable Insurance Trust,,1.0000000000000002,353905,21195,167212,3656.0
 N Pacific Hwy Apartments,,1.0,1888421,129923,167212,3656.0
Investors Of Crypto,Crypton Investment Fund,0.7438267160482201,1732047,118216,288113,
Westport Golf, Gol,0.9951565090538137,1835445,96767,160068,
Skykit,Skyknight Capital Fund,0.8992160217570182,1893455,132325,281570,146168.0
Steamboat Capital Partners Ii,Steamboat Capital Partners Ii,0.0,1737290,42015,173141,40.0
Twm Equity Income Partnership L P,Twm Partners Fund,0.9005907495438039,1373863,30483,147189,6576.0
Wharton Industrial Partners Ii,Core Industrial Partners Fund Ii,0.7282243279283918,1839875,106456,293334,
Vicinft,,1.0,1940537,165674,167212,3656.0
Biopharma Credit Investments V,Biopharma Credit Investments V Master,0.4266242204539169,1771639,47419,161150,
Spc Emerging Growth Fund,Spc Emerging Growth Fund,2.1073424255447017e-08,1876654,121436,315377,
Hg Titan  Us Aiv,Hg Titan  Aiv,0.44896860648050346,1875056,120580,160063,
Vista Precision Solutions,Precision Invest,0.8432096168226776,1837439,98084,281872,
Deweys Bakery,,1.0,1826593,92457,167212,3656.0
Nantahala Capital Partners Ii Limited Partnership,Nantahala Capital Partners Ii Limited Partnership,0.0,1504196,32784,158081,4028.0
Angellist Access Fund A,Angellist Access Fund A,0.0,1818649,86544,288220,
Eastern Bell Capital Fund Ii,Eastern Bell Capital Fund Ii,0.0,1837967,98583,313407,
Dyte,,1.0,1869201,118478,167212,3656.0
Vessel Health,Mars Health Fund I,0.9193106560758335,1858524,110636,283347,
Terrastride,Stride Terra,0.5782002512825692,1593704,35155,162560,421.0
Marcy Venture Partners Fund Ii,Marcy Venture Partners Fund Ii,0.0,1849285,109954,301581,
Emmaus Life Sciences,Driehaus Life Sciences Fund,0.7586973044330245,822370,21556,105757,785.0
Empower Recovery Investors,Story Recover,0.8115359923014035,1914237,148731,300651,
Skyline  Jr United Investors,Kkr Skyline Invest,0.9234367444845685,1950720,171948,146629,5714.0
Sfa  Route  East,Sfa ,0.9153620497612921,1815246,91649,281491,
Adzerk,,0.9999999999999999,1524491,135765,167212,3656.0
Brookfield Global Transition Fund A,Brookfield Global Transition Fund A,0.0,1860574,117512,151605,
Baxter Street Fund Ii,Baxter Street Fund Ii,0.0,1617586,35978,168496,4685.0
Natel Energy,Hite Energy,0.8385650073451095,1470101,57321,160173,332.0
Monarch Federal Historic Preservation Fund Ii,Monarch Federal Historic Preservation Fund Ii,0.0,1761481,67600,122085,
Dvg  Fund,Dvg  Fund,0.0,1593982,68322,158187,3745.0
Forager Fund,Forager Fund,0.0,1539281,67845,158835,75856.0
Kain Akeso,Kain Akeso,0.0,1816670,86334,315669,
Mitfl,,1.0,1853892,108780,167212,3656.0
Dialectic Therapeutics,Thematic Select: Pfm Therapeutics,0.7946092995013442,1750926,91714,107850,142443.0
Series  A Series Of The Coterie Master Fund I,The Coterie Master Fund I Series ,0.508724449504856,1925773,155973,317184,
Smp Lockwood Reit,Lockwood Grove Clo,0.869932464299076,1908439,144018,160035,
Pima Swan,Swa,0.7961816358174172,1874165,119915,305343,
Ironwood Concentrated Fund,Ironwood Concentrated Fund,0.0,1603910,56622,108467,2386.0
Merama,Metamatic Fund ,0.8988354135773308,1859704,110419,322938,
Lucerne Nordic Fund,The Lucerne Capital Nordic Master Fund,0.6648695272381758,1470457,32170,111288,13089.0
Peakbridge Spv I,Stockbridge Fund,0.8697720608955394,1878154,127407,160674,
 Funding,A Funding,0.5135688513213531,1735211,41783,152175,94452.0
Redhill Pointe,Roundhill Spv ,0.9587180614615548,1857310,119584,300799,
Wy Fund Ii A Series Of Unpopular Vc,Wy Fund Ii A Series Of Unpopular Vc,1.0536712127723509e-08,1890093,129994,312118,
Maccabee Ventures Fund I, Ventures Fund I,0.8880963803767914,1780912,52434,305917,
Carnegie Foundry,Foundry Fund,0.7665875338893788,1827260,92638,104862,36.0
Cardless,Endless Va,0.8998354164388883,1793421,64811,161917,
Cat Rock Capital Partners,One Rock Capital Partners,0.5058267090627767,1648341,37041,160972,
Atrility Medical,Palisade Medical Equity I,0.9600181219430151,1734892,91295,104581,11201.0
Bga Horizon Fund Briarwood Series,Bga Horizon Fund Briarwood Series,1.8250120749944284e-08,1763765,71154,158508,
Ga Fund I A Series Of Banana Capital,Fund I A Series Of Banana Capital,0.33787281442161543,1911884,165233,312842,
Meridian Capital Partners Fund,Meridian Capital Fund,0.5051612409540761,1918594,151121,128222,
Sharpvue Real Estate Partners Ii,Sharpvue Real Estate Partners Ii,1.4901161193847656e-08,1885934,127613,304746,
Ax Momentum,Ax Momentum,0.0,1686885,97153,285181,
L Summit Fund,L Summit Fund,1.4901161193847656e-08,1623593,57452,172688,75252.0
Listreports,,0.9999999999999998,1627496,87317,167212,3656.0
Saber Equity Diversification Fund,Diversified Equity Fund,0.7754301601180117,1871715,118091,147662,5453.0
Ardsley Ridgecrest Partners Fund,Ardsley Ridgecrest Partners Fund,0.0,1598118,65849,301116,913.0
Dlp Housing Fund,Dlp Lending Fund,0.7961892668280417,1810392,81371,297511,
Rl Investment Group, Investment Group,0.5793935620981692,1813406,83586,297561,
Small Business Bond Fund I,Small Business Bond Fund I,0.0,1926301,156258,323883,
Realto,Cantor Realty Fund Ii,0.8678721165201846,1837491,98382,159296,11028.0
Madera Amp Spv I,Madera Amp Spv I,0.0,1872375,118927,312666,
Cure Pharmaceutical Holding,Leerink Pharmaceutical Fund,0.821554490974753,1643301,36846,172514,
Power Sonic Holdings, Holdings Soc,0.8110713821842238,1723886,122953,162351,
North Dallas Surgical Center,,0.9999999999999999,1499622,102700,167212,3656.0
Kellys Green,Kellner Catalyst Fund,0.9279622485002031,1844689,102658,167870,
Cosmos Pharmaceuticals,Cahaba Pharmaceuticals,0.8353866240798228,1845816,104834,109239,
Jordan Katz Avalon,,1.0,1818500,86464,167212,3656.0
Nymbus, Nimbus,0.9950698733944944,1624951,172546,175144,146240.0
Purview Enterprises,New Enterprise Associates ,0.8886342380830605,1804412,77981,161004,
Aberdeen Standard Us Private Equity Ix,Aberdeen Us Private Equity Ix,0.43963171864556994,1829800,97172,139068,
Arizona Silver Exploration,Explorador Horizon Fund,0.8514717612205085,1701599,39334,139762,
Starship S A Series Of Starship Venture Investments,Starship Ventures Ii Spv A Series Of Starship Ventures Opportunities,0.6170400580309661,1886942,129913,306829,
Artesian High Impact Green Bond Fund Onshore,High Impact Fund I,0.8521126732842437,1875235,120613,289028,
Via Verona,Via Verona,1.4901161193847656e-08,1862597,112278,112337,2568.0
Lynx Ebo Fund If,Lynx Ebo Fund If,0.0,1850957,106835,125139,14114.0
Nimble Partners Opportunities Series  A Series Of Nimble Partners Opportunities,Nimble Partners Opportunities Series ,0.2335136337427432,1872197,119020,134484,3567.0
Stretch Out Studios,King Street Studio Invest,0.9699758038304528,1694655,73355,156785,2345.0
Integrated Agriculture Systems,Agriculture Fund Ii,0.8526847584985512,1701637,108197,151605,
Bondhouse,Redhop,0.95001167186632,1770937,47055,170583,
Kontiki Offshore Fund,Kontiki Offshore Fund,1.0536712127723509e-08,1621742,61709,324588,
Rauch Capital Ii A Series Of Rauch Capital,Touch Capital,0.8961247128443177,1829840,93350,322321,
Lgf Lengthening Kinship,Lgf Lengthening Kinship,1.0536712127723509e-08,1829557,95164,301031,
North Haven Private Equity Asia V Tei Feeder,North Haven Private Equity Asia V,0.5986758673560502,1753679,59244,134366,
Dont Tell My Wife Stables ,,1.0,1823428,89773,167212,3656.0
Siyata Mobile,Hibiya Park,0.8994077641889217,1649009,87780,107590,11693.0
Advent International Gpe X F Limited Partnership,Advent International Gpe Vi F Limited Partnership,0.3934262568099897,1904080,141686,105673,2109.0
Cedar Tsf,Cedar Fund,0.9000931449146728,1862054,112818,121746,
Tyr Capital Partners Spc On Behalf Of Tyr Capital Bitcoin Segregated Portfolio,Tyr Capital Partners Spc,0.7522307008623353,1930635,159383,318980,143159.0
Allentown Infrastructure Group,Partners Group Direct Infrastructure ,0.7993665179012854,1816231,96378,162791,4101.0
Tradelane Properties Fund I,Prime Properties Fund I,0.8564593463509009,1805945,78301,282244,
Crisprqc,,0.9999999999999999,1916528,151166,167212,3656.0
Luma Financial Technologies,Felix Financial Technologies,0.6816571504758981,1812005,82620,321099,
Samacare,Camac Fund,0.9431687172288802,1776061,49878,173002,
Jam Offshore Investors, Invest Offshore,0.6811840804163093,1734699,55518,134776,746.0
Venus Aerospace,Harlow Aerospace Fund,0.8731631352488133,1812508,83083,133918,
Accolade Partners Viii B,Accolade Partners Viii B,0.0,1829163,93306,160802,
Harrison Street Real Estate Partners Ix,Walton Street Real Estate Partners Ix,0.655010888452384,1928445,159915,147210,
Acore Capital Special Situations Slp,Acore Capital Special Situations,0.4258774995202658,1825521,91952,175054,
Iter Investments Fund I,Iter Investments Fund I,1.4901161193847656e-08,1859391,110403,316010,
 Bit Fund, Bit Capital I,0.8072861164781036,1831480,94416,313557,
Mwy Holdings I,Mwt Holdings,0.7582159189223014,1832444,95067,110663,
Aeon Venture Fund,Aeon Venture Fund,0.0,1831557,94342,298611,
Expensify,Exify Spv,0.9398583968209101,1476840,144132,287733,
Ag Essential Housing,Ag Essential Housing Company ,0.6078374132392067,1805324,91543,131940,168.0
Securis Opportunities Fund Us,Securis Opportunities Fund Erisa Us,0.5450526209925762,1711540,40069,161295,16325.0
Respeecher,,1.0,1798603,73882,167212,3656.0
Se Fund I A Series Of Roll Up Vehicles,Up Fund I A Series Of Red Beard Vc,0.9462660846501618,1870796,118791,319144,
Castalian Institutional Partners,Castalian Institutional Partners,0.0,1917816,151222,283552,
Southfield Security Services Investment,Southfield Security Services Investment,0.0,1769124,46068,163023,
Ourcrowd Investment In Launch,Ourcrowd Investment In Launch,1.4901161193847656e-08,1857224,110028,169475,
Encore Buligo,,0.9999999999999999,1836929,100731,167212,3656.0
Omega Gold,Omega Fund V,0.7435478932299783,1772806,48074,157753,5454.0
Oaktree Opportunities Fund Xi Parallel  Scsp,Oaktree Opportunities Fund Xi Parallel ,0.43974305237452266,1822717,102324,106793,11713.0
Eden Health,Mars Health Fund I,0.9271186634356208,1721728,104491,283347,
Epq Antios B Ps,Epq Antios B Ps,0.0,1884842,126695,292526,84632.0
Pure Extracts Technologies,Janvest Technologies,0.891776466511469,1831552,94420,307760,
Iifl One Core Solutions Balanced,Iifl One Core Solutions Conservative,0.7176777105467703,1825937,90958,307146,
Rcp Fund Xvi,Rcp Fund Xvi,1.4901161193847656e-08,1871215,118006,289963,
Vox Royalty,Maven Royalty ,0.8549917434049294,1907909,148650,288377,
Brown Advisory Investors  Srp Fund C Lllp,Brown Advisory Investors  Srp Fund C,0.5148656721334963,1835738,98680,124612,
Linq App,Conquest I,0.9958151932909317,1861430,112089,122821,
Lake Street Fund,Lake Street Fund,0.0,1212793,58192,171971,142598.0
Kkr Abfp Te Offshore Private Investors,Kkr Abfp Offshore Private Investors Scsp,0.44664536002918437,1863764,115097,226531,
Hometap Equity Partners, Equity Partners,0.6804487787760086,1796130,67927,161328,
Propelplm,,1.0,1644204,127674,167212,3656.0
Single Cell Technology,Core Technology Fund,0.8046700563586593,1565042,104484,133711,12575.0
Orion Venture,Origin Ventures V,0.6912175781116233,1871504,118040,283371,
Wagein Holdings, Holdings,0.7305176595168161,1720489,104615,137388,2725.0
Fulmino Capital Fund,Fulmino Capital Fund,1.4901161193847656e-08,1814175,86580,309725,
Bsrep Iv Obsidian Ci A,Obsidian,0.8538987959536523,1916573,151022,127600,13370.0
West Street Real Estate Investment Partners Employee Fund,West Street Real Estate Investment Partners,0.5816477656477488,1857536,109516,361,7869.0
Maya Capital Series Invest I Series Z,Maya Capital Series Invest I Series Z,0.0,1885276,127145,304098,
Kstone Multistrategy,Kstone Multistrategy,1.4901161193847656e-08,1454381,71037,149931,20224.0
Hospitality Investors Trust,Easton Msa Hospitality Investors,0.8435545692498556,1583077,34910,43011,
Metric Medical Devices,Biotex Medical Device Fund I,0.7688215643788345,1539794,171849,313202,
Fairway Venture Capital Fund,Fairway Venture Capital Fund,0.0,1828147,92485,312918,142364.0
Van Biema Asia Value Fund,Van Biema Asia Value Master Fund,0.35259098047283655,1486942,59772,136988,143251.0
Sinon Therapeutics,Gmag Therapeutics Fund,0.7827768227486035,1827094,92203,313456,
Plural Ventures  F A Series Of Plural Ventures Holdings,Plural Ventures  F A Series Of Plural Ventures Holdings,0.0,1890304,130013,317261,
Core Alternative Strategies Fund,Core Alternative Strategies Fund,0.0,1726570,70593,130819,32897.0
Kolon Tissuegene,,1.0,1326507,136172,167212,3656.0
Bc Partners Aqua Investment,Bc Partners Aqua Investment,0.0,1896634,135832,284927,
Bcp Special Opportunities Offshore Feeder Ii,Bcp Special Opportunities Offshore Fund I,0.4545202094118784,1791838,68650,288495,25150.0
Thursday Ventures Xii,Thursday Ventures Xii,0.0,1871864,121488,316609,
Fencing Supply Group Holdings,Am Group Holdings,0.7927217701843198,1871910,118121,165478,
Oc Fund I A Series Of Eric Anschutz Group,,1.0,1876296,121262,167212,3656.0
 Early Stage Opportunity Fund, Early Stage Opportunity Fund,0.0,1887467,132382,298029,
Manulife Investment Partners Ii,Manulife Investment Partners Ii,0.0,1800837,74835,145508,
Pco  A Series Of Patricof Master,Pcof I,0.854555858319718,1854691,118293,310099,
Texas Oil Partners Permian Bsw,,0.9999999999999999,1899077,136073,167212,3656.0
Fourbridge Partners ,Fourbridge Partners ,0.0,1825410,91864,307651,
Pa Direct Credit Opportunities Fund Iii Offshore,Pa Direct Credit Opportunities Fund Ii Offshore,0.14255774537408303,1790553,61810,105981,
Se Fund I A Series Of Capitalx,Se Fund I A Series Of Capitalx,0.0,1873355,119547,310537,
Superplastic,,1.0,1755664,43516,167212,3656.0
Alf Iii Reit Macallan On Ross,,1.0,1898072,136458,167212,3656.0
Altor Fund Vi No  Ab,Altor Fund V No Ab,0.5577383529032781,1950532,171728,172713,
District Three,Direct Lending Fund Three,0.8784411985262139,1844970,102805,131728,
Abacus Multi Family Partners Vi,Abacus Multi Family Partners V,0.19638914694397752,1950782,172504,157243,
Imaging,Imagine Ventures I,0.7506363858832852,1205181,100293,319413,
Bridgepoint Europe Vii A,Bridgepoint Europe Portfolio Iv,0.7439843446033162,1880656,135778,161920,137601.0
Ottumwa Hospitality,Swan Hospitality ,0.9375296270435677,1881160,124430,175323,
Eqmc Partners,Eqmc Partners,0.0,1776897,50305,304548,142302.0
S Ventures Fund Vii,Venn Ventures Fund Viii,0.6857467363435452,1908449,156011,315551,
Alt Fund Iii A Series Of Angellist Gp Funds I,Alt Fund Iii A Series Of Angellist Gp Funds I,1.4901161193847656e-08,1858166,109816,298153,
Bright Ventures Fund I,Starlight Ventures Fund I,0.6718066109667803,1865992,113304,317681,
Tempo Interactive,Diversis Tempo Invest,0.8649064246851614,1781512,52756,300773,
Butterfly Whisk Invest A,Butterfly Whisk Invest A,0.0,1856319,108923,284667,
Petfive Brands Holding,Hive Holding,0.9297914566730209,1729530,61740,160259,
Legal General Msci World Fund,Legal & General Msci World Fund,0.3748870651834712,1685485,54308,149156,768.0
Defiant Food Group,Boulder Food Group,0.8657046504588853,1801328,73553,174360,
Goanna Capital A,Goanna Capital A,1.0536712127723509e-08,1862441,112115,314952,
Defiance Silver,Silver Star,0.9506639407719971,1771427,47307,168373,
Im Fund I A Series Of Roll Up Vehicles,Vehicle A,0.9829169417942373,1924981,155818,314399,
Caribou Global Equity Fund,Caribou Global Equity Fund,0.0,1357541,72838,108581,104286.0
Workbalance A Series Of Assure Syndicates Master,Workbalance A Series Of Assure Syndicates Master,1.0536712127723509e-08,1868456,132356,317795,
Trust Me Vodka,,1.0,1709451,92781,167212,3656.0
Cifc Senior Secured Corporate Loan Fund  I,Cifc Senior Secured Corporate Loan Fund,0.20682038906755876,1733325,41537,159172,
Travera, Tra,0.8651969303372934,1732756,41484,160068,
Colorful Investment,Colorful Investment,1.0536712127723509e-08,1832915,95293,111128,3811.0
Pelham Spv Fund Ii,Pelham Spv Fund Ii,0.0,1826567,92194,173584,5969.0
Pfh Capital Fund,Pfh Capital Fund,0.0,1753083,63024,299722,142829.0
Acacia Property ,India Property Fund,0.7951955426584898,1802364,75082,151243,
Restor Metabolix,,0.9999999999999999,1901338,138385,167212,3656.0
Remora Capital Partners I Qp,Remora Capital Partners I Qp,1.4901161193847656e-08,1879693,134369,316160,
Teller Org,,1.0000000000000002,1888817,129935,167212,3656.0
Intech Enhanced Plus Fund,Intech Us Enhanced Plus Fund,0.3764105072261118,1345708,171614,119232,
Bga Horizon Fund Baker Brothers Series,Bga Horizon Fund Baker Brothers Series,1.4901161193847656e-08,1872829,126621,158508,
Bbh Global Funds Bbh International Core Select,Bbh Select Equity Master Fund,0.8834428929889956,1771525,47360,168496,4685.0
Rize Education,Aim Education,0.8302529200482808,1848462,105381,156157,
Salt Capital Equity Group,Capital Group Global Equity Fund Lux,0.7944959496431011,1788384,62129,110885,3170.0
Mai Capital Gp Staking Fund,Mak Capital Fund,0.9308066084908704,1940105,172021,158132,3006.0
Clear Haven Investment Fund Clear Haven Credit Opportunities Fund I Series,Clear Haven Investment Fund Clear Haven Credit Opportunities Fund I Series,0.0,1778035,50902,149165,
Oshares ,Osh Investors,0.8945546856802341,1918907,151446,226521,
Hollis Park Opportunities Fund,Hollis Park Opportunities Master Fund,0.4188896730510235,1690211,110321,171461,18201.0
White River Fund,White River Fund,1.4901161193847656e-08,1832510,105295,312013,
Ivyrock China Focus Master Fund,Ivyrock China Focus Master Fund,1.4901161193847656e-08,1822810,91119,286174,18690.0
Starting Line Fund Ii,Starting Line Fund Ii,0.0,1831164,95183,318174,
Lumenary,Lumen Fund,0.7483603137070012,1850913,107613,123705,
Bridger Holdings,Golden Bridge Holdings,0.6004205072281897,1639819,73337,159699,13709.0
Speciale Invest Fund I,Spa Special Investment Fund,0.7235289038945087,1723547,94366,283437,
